suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_ADC_initial_%,cov_STMT_initial_%,cov_STMT_augmented_%,fault_revealed
1,1,9,13,4,100.0,96.17,100.0,False
1,2,9,13,4,100.0,96.17,100.0,False
1,3,9,13,4,100.0,96.17,100.0,False
1,4,9,13,4,100.0,96.17,100.0,False
1,5,9,13,4,100.0,96.17,100.0,False
1,6,9,13,4,100.0,96.17,100.0,False
1,7,9,12,3,100.0,96.17,100.0,False
1,8,9,13,4,100.0,96.17,100.0,False
1,9,9,12,3,100.0,96.17,100.0,False
1,10,9,13,4,100.0,96.17,100.0,False
2,1,9,12,3,100.0,96.17,100.0,False
2,2,9,12,3,100.0,96.17,100.0,False
2,3,9,13,4,100.0,96.17,100.0,False
2,4,9,13,4,100.0,96.17,100.0,False
2,5,9,13,4,100.0,96.17,100.0,False
2,6,9,12,3,100.0,96.17,100.0,False
2,7,9,13,4,100.0,96.17,100.0,False
2,8,9,12,3,100.0,96.17,100.0,False
2,9,9,13,4,100.0,96.17,100.0,False
2,10,9,13,4,100.0,96.17,100.0,False
3,1,9,12,3,100.0,96.72,100.0,False
3,2,9,12,3,100.0,96.72,100.0,False
3,3,9,12,3,100.0,96.72,100.0,False
3,4,9,12,3,100.0,96.72,100.0,False
3,5,9,12,3,100.0,96.72,100.0,False
3,6,9,12,3,100.0,96.72,100.0,False
3,7,9,12,3,100.0,96.72,100.0,False
3,8,9,12,3,100.0,96.72,100.0,False
3,9,9,12,3,100.0,96.72,100.0,False
3,10,9,12,3,100.0,96.72,100.0,False
4,1,9,13,4,100.0,95.08,100.0,False
4,2,9,13,4,100.0,95.08,100.0,False
4,3,9,13,4,100.0,95.08,100.0,False
4,4,9,13,4,100.0,95.08,100.0,False
4,5,9,13,4,100.0,95.08,100.0,False
4,6,9,13,4,100.0,95.08,100.0,False
4,7,9,13,4,100.0,95.08,100.0,False
4,8,9,13,4,100.0,95.08,100.0,False
4,9,9,13,4,100.0,95.08,100.0,False
4,10,9,13,4,100.0,95.08,100.0,False
5,1,9,12,3,100.0,96.72,100.0,False
5,2,9,12,3,100.0,96.72,100.0,False
5,3,9,12,3,100.0,96.72,100.0,False
5,4,9,12,3,100.0,96.72,100.0,False
5,5,9,12,3,100.0,96.72,100.0,False
5,6,9,12,3,100.0,96.72,100.0,False
5,7,9,12,3,100.0,96.72,100.0,False
5,8,9,12,3,100.0,96.72,100.0,False
5,9,9,12,3,100.0,96.72,100.0,False
5,10,9,12,3,100.0,96.72,100.0,False
6,1,9,13,4,100.0,95.08,100.0,False
6,2,9,13,4,100.0,95.08,100.0,False
6,3,9,13,4,100.0,95.08,100.0,False
6,4,9,13,4,100.0,95.08,100.0,False
6,5,9,13,4,100.0,95.08,100.0,False
6,6,9,13,4,100.0,95.08,100.0,False
6,7,9,13,4,100.0,95.08,100.0,False
6,8,9,13,4,100.0,95.08,100.0,True
6,9,9,13,4,100.0,95.08,100.0,False
6,10,9,13,4,100.0,95.08,100.0,False
7,1,9,13,4,100.0,95.08,100.0,False
7,2,9,13,4,100.0,95.08,100.0,False
7,3,9,13,4,100.0,95.08,100.0,False
7,4,9,13,4,100.0,95.08,100.0,False
7,5,9,13,4,100.0,95.08,100.0,True
7,6,9,13,4,100.0,95.08,100.0,False
7,7,9,13,4,100.0,95.08,100.0,False
7,8,9,13,4,100.0,95.08,100.0,False
7,9,9,13,4,100.0,95.08,100.0,False
7,10,9,13,4,100.0,95.08,100.0,False
8,1,9,13,4,100.0,95.63,100.0,False
8,2,9,13,4,100.0,95.63,100.0,False
8,3,9,13,4,100.0,95.63,100.0,False
8,4,9,13,4,100.0,95.63,100.0,False
8,5,9,13,4,100.0,95.63,100.0,False
8,6,9,13,4,100.0,95.63,100.0,False
8,7,9,13,4,100.0,95.63,100.0,False
8,8,9,13,4,100.0,95.63,100.0,False
8,9,9,13,4,100.0,95.63,100.0,False
8,10,9,13,4,100.0,95.63,100.0,False
9,1,9,13,4,100.0,95.63,100.0,False
9,2,9,12,3,100.0,95.63,100.0,False
9,3,9,13,4,100.0,95.63,100.0,False
9,4,9,13,4,100.0,95.63,100.0,False
9,5,9,13,4,100.0,95.63,100.0,False
9,6,9,13,4,100.0,95.63,100.0,True
9,7,9,13,4,100.0,95.63,100.0,True
9,8,9,13,4,100.0,95.63,100.0,False
9,9,9,13,4,100.0,95.63,100.0,False
9,10,9,12,3,100.0,95.63,100.0,False
10,1,9,13,4,100.0,95.08,100.0,False
10,2,9,13,4,100.0,95.08,100.0,False
10,3,9,13,4,100.0,95.08,100.0,False
10,4,9,13,4,100.0,95.08,100.0,False
10,5,9,13,4,100.0,95.08,100.0,True
10,6,9,13,4,100.0,95.08,100.0,False
10,7,9,13,4,100.0,95.08,100.0,False
10,8,9,13,4,100.0,95.08,100.0,False
10,9,9,13,4,100.0,95.08,100.0,False
10,10,9,13,4,100.0,95.08,100.0,True
11,1,9,13,4,100.0,95.63,100.0,True
11,2,9,13,4,100.0,95.63,100.0,False
11,3,9,13,4,100.0,95.63,100.0,False
11,4,9,13,4,100.0,95.63,100.0,True
11,5,9,12,3,100.0,95.63,100.0,False
11,6,9,13,4,100.0,95.63,100.0,False
11,7,9,13,4,100.0,95.63,100.0,False
11,8,9,13,4,100.0,95.63,100.0,False
11,9,9,12,3,100.0,95.63,100.0,False
11,10,9,13,4,100.0,95.63,100.0,False
12,1,9,12,3,100.0,96.72,100.0,False
12,2,9,12,3,100.0,96.72,100.0,False
12,3,9,12,3,100.0,96.72,100.0,False
12,4,9,12,3,100.0,96.72,100.0,False
12,5,9,12,3,100.0,96.72,100.0,False
12,6,9,12,3,100.0,96.72,100.0,False
12,7,9,12,3,100.0,96.72,100.0,False
12,8,9,12,3,100.0,96.72,100.0,False
12,9,9,12,3,100.0,96.72,100.0,False
12,10,9,12,3,100.0,96.72,100.0,False
13,1,9,13,4,100.0,95.08,100.0,False
13,2,9,13,4,100.0,95.08,100.0,False
13,3,9,13,4,100.0,95.08,100.0,False
13,4,9,13,4,100.0,95.08,100.0,False
13,5,9,13,4,100.0,95.08,100.0,False
13,6,9,13,4,100.0,95.08,100.0,False
13,7,9,13,4,100.0,95.08,100.0,False
13,8,9,13,4,100.0,95.08,100.0,False
13,9,9,13,4,100.0,95.08,100.0,False
13,10,9,13,4,100.0,95.08,100.0,False
14,1,9,12,3,100.0,96.17,100.0,False
14,2,9,12,3,100.0,96.17,100.0,False
14,3,9,13,4,100.0,96.17,100.0,False
14,4,9,13,4,100.0,96.17,100.0,False
14,5,9,13,4,100.0,96.17,100.0,False
14,6,9,12,3,100.0,96.17,100.0,False
14,7,9,13,4,100.0,96.17,100.0,False
14,8,9,12,3,100.0,96.17,100.0,False
14,9,9,12,3,100.0,96.17,100.0,False
14,10,9,13,4,100.0,96.17,100.0,False
15,1,9,13,4,100.0,95.63,100.0,True
15,2,9,13,4,100.0,95.63,100.0,False
15,3,9,12,3,100.0,95.63,100.0,False
15,4,9,13,4,100.0,95.63,100.0,False
15,5,9,13,4,100.0,95.63,100.0,False
15,6,9,12,3,100.0,95.63,100.0,False
15,7,9,12,3,100.0,95.63,100.0,False
15,8,9,13,4,100.0,95.63,100.0,False
15,9,9,12,3,100.0,95.63,100.0,False
15,10,9,13,4,100.0,95.63,100.0,False
16,1,9,13,4,100.0,95.08,100.0,False
