============================================================
EXPERIMENTAL RESULTS SUMMARY
============================================================

Criterion A (initial)   : ADC
Criterion B (augmented) : STMT

Suites generated        : 99
Total augmentations     : 990
Fault revealed          : 2 (0.2%)
Not revealed            : 988

------------------------------------------------------------
  Suite 1: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 2: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 3: initial=1, augmentations=10, revealed=0, avg_aug_size=4.9
  Suite 4: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 5: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 6: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 7: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 8: initial=1, augmentations=10, revealed=0, avg_aug_size=4.8
  Suite 9: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 10: initial=1, augmentations=10, revealed=0, avg_aug_size=4.2
  Suite 11: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 12: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 13: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 14: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 15: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 16: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 17: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 18: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 19: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 20: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 21: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 22: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 23: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 24: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 25: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 26: initial=1, augmentations=10, revealed=0, avg_aug_size=4.9
  Suite 27: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 28: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 29: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 30: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 31: initial=1, augmentations=10, revealed=0, avg_aug_size=4.2
  Suite 32: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 33: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 34: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 35: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 36: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 37: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 38: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 39: initial=1, augmentations=10, revealed=0, avg_aug_size=4.3
  Suite 40: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 41: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 42: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 43: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 44: initial=1, augmentations=10, revealed=0, avg_aug_size=4.3
  Suite 45: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 46: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 47: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 48: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 49: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 50: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 51: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 52: initial=1, augmentations=10, revealed=1, avg_aug_size=4.9
  Suite 53: initial=1, augmentations=10, revealed=0, avg_aug_size=4.8
  Suite 54: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 55: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 56: initial=1, augmentations=10, revealed=0, avg_aug_size=4.1
  Suite 57: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 58: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 59: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 60: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 61: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 62: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 63: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 64: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 65: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 66: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 67: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 68: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 69: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 70: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 71: initial=1, augmentations=10, revealed=0, avg_aug_size=4.1
  Suite 72: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 73: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 74: initial=1, augmentations=10, revealed=0, avg_aug_size=4.8
  Suite 75: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 76: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 77: initial=1, augmentations=10, revealed=0, avg_aug_size=4.2
  Suite 78: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 79: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 80: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 81: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 82: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 83: initial=1, augmentations=10, revealed=1, avg_aug_size=4.2
  Suite 84: initial=1, augmentations=10, revealed=0, avg_aug_size=4.8
  Suite 85: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 86: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 87: initial=1, augmentations=10, revealed=0, avg_aug_size=4.1
  Suite 88: initial=1, augmentations=10, revealed=0, avg_aug_size=4.4
  Suite 89: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 90: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 91: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 92: initial=1, augmentations=10, revealed=0, avg_aug_size=4.7
  Suite 93: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 94: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 95: initial=1, augmentations=10, revealed=0, avg_aug_size=4.6
  Suite 96: initial=1, augmentations=10, revealed=0, avg_aug_size=4.0
  Suite 97: initial=1, augmentations=10, revealed=0, avg_aug_size=5.0
  Suite 98: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
  Suite 99: initial=1, augmentations=10, revealed=0, avg_aug_size=4.5
