suite_id,aug_id,initial_size,augmented_size,n_tests_added,cov_STMT_initial_%,cov_ADC_initial_%,cov_ADC_augmented_%,fault_revealed
1,1,4,5,1,100.0,98.95,100.0,False
1,2,4,5,1,100.0,98.95,100.0,False
1,3,4,5,1,100.0,98.95,100.0,False
1,4,4,5,1,100.0,98.95,100.0,False
1,5,4,5,1,100.0,98.95,100.0,False
1,6,4,5,1,100.0,98.95,100.0,False
1,7,4,5,1,100.0,98.95,100.0,False
1,8,4,5,1,100.0,98.95,100.0,False
1,9,4,5,1,100.0,98.95,100.0,False
1,10,4,5,1,100.0,98.95,100.0,False
2,1,4,5,1,100.0,96.84,100.0,False
2,2,4,5,1,100.0,96.84,100.0,False
2,3,4,5,1,100.0,96.84,100.0,False
2,4,4,5,1,100.0,96.84,100.0,False
2,5,4,5,1,100.0,96.84,100.0,False
2,6,4,5,1,100.0,96.84,100.0,False
2,7,4,5,1,100.0,96.84,100.0,False
2,8,4,5,1,100.0,96.84,100.0,False
2,9,4,5,1,100.0,96.84,100.0,False
2,10,4,5,1,100.0,96.84,100.0,False
3,1,4,5,1,100.0,96.84,100.0,False
3,2,4,5,1,100.0,96.84,100.0,False
3,3,4,5,1,100.0,96.84,100.0,False
3,4,4,5,1,100.0,96.84,100.0,False
3,5,4,5,1,100.0,96.84,100.0,False
3,6,4,5,1,100.0,96.84,100.0,False
3,7,4,5,1,100.0,96.84,100.0,False
3,8,4,5,1,100.0,96.84,100.0,False
3,9,4,5,1,100.0,96.84,100.0,False
3,10,4,5,1,100.0,96.84,100.0,False
4,1,4,5,1,100.0,98.95,100.0,False
4,2,4,5,1,100.0,98.95,100.0,False
4,3,4,5,1,100.0,98.95,100.0,False
4,4,4,5,1,100.0,98.95,100.0,False
4,5,4,5,1,100.0,98.95,100.0,False
4,6,4,5,1,100.0,98.95,100.0,False
4,7,4,5,1,100.0,98.95,100.0,False
4,8,4,5,1,100.0,98.95,100.0,False
4,9,4,5,1,100.0,98.95,100.0,False
4,10,4,5,1,100.0,98.95,100.0,False
5,1,4,5,1,100.0,98.95,100.0,False
5,2,4,5,1,100.0,98.95,100.0,False
5,3,4,5,1,100.0,98.95,100.0,False
5,4,4,5,1,100.0,98.95,100.0,False
5,5,4,5,1,100.0,98.95,100.0,False
5,6,4,5,1,100.0,98.95,100.0,False
5,7,4,5,1,100.0,98.95,100.0,False
5,8,4,5,1,100.0,98.95,100.0,False
5,9,4,5,1,100.0,98.95,100.0,False
5,10,4,5,1,100.0,98.95,100.0,False
6,1,4,5,1,100.0,96.84,100.0,False
6,2,4,5,1,100.0,96.84,100.0,False
6,3,4,5,1,100.0,96.84,100.0,False
6,4,4,5,1,100.0,96.84,100.0,False
6,5,4,5,1,100.0,96.84,100.0,False
6,6,4,5,1,100.0,96.84,100.0,False
6,7,4,5,1,100.0,96.84,100.0,False
6,8,4,5,1,100.0,96.84,100.0,False
6,9,4,5,1,100.0,96.84,100.0,False
6,10,4,5,1,100.0,96.84,100.0,False
7,1,4,5,1,100.0,96.84,100.0,False
7,2,4,5,1,100.0,96.84,100.0,False
7,3,4,5,1,100.0,96.84,100.0,False
7,4,4,5,1,100.0,96.84,100.0,False
7,5,4,5,1,100.0,96.84,100.0,False
7,6,4,5,1,100.0,96.84,100.0,False
7,7,4,5,1,100.0,96.84,100.0,False
7,8,4,5,1,100.0,96.84,100.0,False
7,9,4,5,1,100.0,96.84,100.0,False
7,10,4,5,1,100.0,96.84,100.0,False
8,1,4,5,1,100.0,98.95,100.0,False
8,2,4,5,1,100.0,98.95,100.0,False
8,3,4,5,1,100.0,98.95,100.0,False
8,4,4,5,1,100.0,98.95,100.0,False
8,5,4,5,1,100.0,98.95,100.0,False
8,6,4,5,1,100.0,98.95,100.0,False
8,7,4,5,1,100.0,98.95,100.0,False
8,8,4,5,1,100.0,98.95,100.0,False
8,9,4,5,1,100.0,98.95,100.0,False
8,10,4,5,1,100.0,98.95,100.0,False
9,1,4,5,1,100.0,98.95,100.0,False
9,2,4,5,1,100.0,98.95,100.0,False
9,3,4,5,1,100.0,98.95,100.0,False
9,4,4,5,1,100.0,98.95,100.0,False
9,5,4,5,1,100.0,98.95,100.0,False
9,6,4,5,1,100.0,98.95,100.0,False
9,7,4,5,1,100.0,98.95,100.0,False
9,8,4,5,1,100.0,98.95,100.0,False
9,9,4,5,1,100.0,98.95,100.0,False
9,10,4,5,1,100.0,98.95,100.0,False
10,1,4,5,1,100.0,98.95,100.0,False
10,2,4,5,1,100.0,98.95,100.0,False
10,3,4,5,1,100.0,98.95,100.0,False
10,4,4,5,1,100.0,98.95,100.0,False
10,5,4,5,1,100.0,98.95,100.0,False
10,6,4,5,1,100.0,98.95,100.0,False
10,7,4,5,1,100.0,98.95,100.0,False
10,8,4,5,1,100.0,98.95,100.0,False
10,9,4,5,1,100.0,98.95,100.0,False
10,10,4,5,1,100.0,98.95,100.0,False
11,1,4,5,1,100.0,96.84,100.0,False
11,2,4,5,1,100.0,96.84,100.0,False
11,3,4,5,1,100.0,96.84,100.0,False
11,4,4,5,1,100.0,96.84,100.0,False
11,5,4,5,1,100.0,96.84,100.0,False
11,6,4,5,1,100.0,96.84,100.0,False
